Organisme	démarches	dossiers
Préfecture de police de Paris 	1	650
DGSCGC	1	637
Préfecture de la Savoie - service de la coordination des politiques publiques	3	637
DDTM de l'Aude	2	632
DDTM du Finistère	2	630
Bureau des collectivités locales, Service de la coordination et des politiques interministérielles	1	629
Préfecture de Meurthe-et-Moselle	1	620
Office français de la Biodiversité	9	614
Direction Départementale de la Protection des Populations d'Ille et Vilaine (DDPP35)	2	607
SCPPAT, DCLC, Préfecture du Gard	1	572
DREAL Bourgogne-Franche-Comté	8	554
Préfecture du Finistère	1	548
Conseil departemental de la Manche	9	547
Centre National du Cinéma et de l'image animée	3	542
Préfecture de la Côte d'Or	1	535
Conseil départemental du Pas-de-Calais	17	530
 DREETS Occitanie	2	524
Melun	1	521
Direction Départemental des Territoires de l'Oise	4	516
Département du Pas-de-Calais	14	513
DRAFPIC PACA - Direction régionale académique de la formation professionnelle initiale et continue	2	509
(DRIEETS)	1	507
Administration publique (tutelle) des activités économiques	8	507
DRIEETS Ile-de-France	3	502
CPAM du Val d'Oise	4	500
Préfecture de l'Hérault	13	499
Direction Générale de l'Energie et du Climat, Ministère de la transition écologique et de la cohésion des territoires	1	496
DRAAF de Bretagne	30	491
Préfecture d'Eure-et-Loir	1	487
Préfecture de la Sarthe	6	480
Agence nationale du Sport	2	477
URSSAF Champagne-Ardenne - Travailleurs indépendants 	11	476
Préfecture du Puy-de-Dôme, ministère de l'Intérieur	1	475
Direction départementale de la protection des populations de la Sarthe	3	474
Ministère de l'éducation nationale, de la jeunesse et des sports	2	473
Préfecture des Hautes-Pyrénées	1	471
Préfecture de la Somme	2	470
Préfecture des Ardennes, Ministère de l'Intérieur et des Outre-mer	1	468
Arrondissements	1	465
préfecture de Loir-et-Cher	11	462
CGSS de la Réunion	2	461
CMA Ile-de-France	4	452
Préfecture de région IDF	7	448
URSSAF Bourgogne	1	443
Préfecture de la Marne	1	435
Préfecture de la Corrèze	1	434
URSSAF LORRAINE - Travailleurs indépendants	8	430
Bureau des finances locales - DETR et DSIL	1	425
Préfecture de l'Orne	4	411
Direction générale de la cohésion sociale (DGCS) 	17	409
DRAJES du Grand Est	5	408
Services instructeurs de la Préfecture et des sous-préfectures	1	403
DREETS	8	403
Direction Départementale des Territoires et de la Mer d'Ille-et-Vilaine, Ministère de la Transition Ecologique et de la Cohésion des Territoires	5	400
Service de la sécurité des transports-Département Sécurité, Education et Circulation Routières	33	399
Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique, DREAL	3	397
Préfecture du Rhône	3	396
Agence Nationale de la Recherche	1	393
Conseil Départemental des Hauts-de-Seine	10	391
