Titre	démarches	dossiers
Labellisation Entreprise du Patrimoine Vivant (EPV)	1	1202
Appel à projets 2023 - Programme Mieux Manger Pour Tous	1	1198
FONDS VERT - Prévention des risques d’incendies de forêt et de végétation	1	1188
Simplification de la transmission des données apprentissage	1	1181
PAYS de la LOIRE - DEMANDE D'AGREMENT POUR ORGANISER DES SESSIONS D’EXAMEN CONDUISANT AU TITRE PROFESSIONNEL DU MINISTERE CHARGE DE L’EMPLOI ou au Certificat complémentaire de spécialisation (CCS) (Article R.338-8 du code l’éducation)	1	1178
HELP « aide aux entreprises en difficultés » Nord	3	1161
DDETSPP32 / Influenza aviaire / Demande de LPS 2021-2022	1	1146
Reporting projet lauréats (ITN/SNAP)	3	1129
Fonds d'urgence viticulture du Gard	1	1118
Bilan Été culturel 2022	1	1111
Déclaration de manifestations sur voie publique sur le département de la Seine-Saint-Denis	1	1106
Aide individuelle à la création (AIC) - 2023	1	1105
Mois sans tabac : saisie d'une action pour les promoteurs de l'Assurance maladie	1	1096
Dispositif d'arrachage sanitaire en Gironde : pré-candidature	1	1084
Demande de subvention au titre de la DETR et de la DSIL (Oise)	1	1055
Aide individuelle à la création 2022	1	1053
FDI - AAP 2020 - Outil de suivi au titre des emplois créés/maintenus (campagne de juillet 2021)	1	1038
Procédure d'enregistrement de l'exploitant pour obtenir le droit d'usage de la marque collective déposée "Nutri-Score"	7	1034
PREFECTURE DE POLICE - Dépôt du dossier en vue de la délivrance d’une autorisation de stationnement (ADS) gratuite	1	982
FDI 2022 - Demande de subvention - Présentation du projet	1	955
DDETSPP24 / IAHP / Demande de LPS 2022 	1	953
DDETSPP47 / Influenza aviaire / Demande de LPS 2022	1	931
ADELI Ile de France - Enregistrement des psychologues (15.10.20)	1	929
Aides Minimis - Demande de situation de l'exploitation dont le siège est dans la Drôme	1	920
V2 DDPP49_IAHP_demandes de délégation de crédits à la DRAAF PDL	1	885
ARS PDL - ADELI -ENREGISTREMENT DES USAGERS DE TITRES PROFESSIONNELS	1	877
Dispositif d’urgence – Soutien aux exploitations d'élevage suite à la tempête Ciaran, aux inondations et aux intempéries débutées en nov 2023	1	869
FONDS VERT - Renforcement des aides apportées par les PAPI et appui financier aux collectivités, gestionnaires de digues, dans le cadre de la compétence GEMAPI	1	866
Demande de subvention au titre de la DETR et de la DSIL (Seine-Maritime)	1	861
V2DDPP44_IAHP_demandes de délégation de crédits à la DRAAF PDL	1	836
Demande d'informations ICPE	1	831
FDI - AAP 2020 - Outil de suivi au titre des emplois créés/maintenus (campagne de septembre 2021)	1	812
PREF80 - Vote des taux de la fiscalité directe locale - 2024	1	810
Aide d'urgence aux exploitations en agriculture biologique en difficulté	1	804
Demande de subvention au titre de la DETR et de la DSIL 2024 (Pas de Calais)	1	795
Foires et Salons	1	793
French Tech Tremplin - Incubation	1	784
ARS Île-de-France - programme de financement de Santé publique pour 2022 -	1	784
PREF80 - Vote des taux de la fiscalité directe locale - 2023	1	765
Demande de paiement d'une dotation	2	762
Fichier employeur : Demande de contrôle de mon salarié ou de ma salariée	1	758
PREF80 - Demande de paiement d'une subvention (DETR-DSIL-FNADT-DSID)	1	757
ARS Île-de-France - Evaluation annuelle des programmes ETP 2024 (activité 2023)	1	747
Demande de subvention au titre de la DETR et de  la DSIL (Aisne)	1	745
LBC Reboisement - projet individuel	1	744
HELP « aide aux entreprises en difficultés » Gironde	1	728
ARS - ADELI - Inscription des Psychologues  - Centre Val de Loire	2	727
LBC Boisement - projet individuel	1	723
Dispositif d'indemnisation exceptionnelle des exploitations ultra-marines productrices de fruits et légumes touchées par la hausse de leurs charges en intrants en 2023 engendrée par les conséquences de l’agression de la Russie contre l’Ukraine	1	718
Vote des taux de la fiscalité directe locale - Oise - 2024	1	714
Demande de subvention au titre de la DETR et de la DSIL (Eure)	1	714
FDI - AAP 2020 - Outil de suivi au titre des emplois créés/maintenus (campagne de novembre 2021)	1	703
CA/F202 - Contrat d’Adhésion et déclaration de représentant légal	1	683
ADELI 971- Changement de situation 	1	682
Allocation d'installation d'atelier (AIA) - 2024	1	681
Demande d'agrément pour l'immobilier d'entreprise (art. L. 510-1 du code de l'urbanisme)	1	675
Vote des taux de la fiscalité directe locale - Oise - 2022	1	668
Allocation d'installation d'atelier et achat de matériel 2022	1	661
FDI - AAP 2020/2021 - Outil de suivi au titre des emplois créés/maintenus (campagne de mars 2022)	1	660
Demande de subvention au titre de la DETR et de la DSIL 2024 - Gironde	1	657
Formulaire de demande unique de pénétration de zone interdite de survol	1	657
FATEA - DOSSIER DE DEMANDE DE SUBVENTION 2021	1	655
DDPP 59 / Influenza aviaire / Demande de LPS	1	650
PREFECTURE DE POLICE - ADS - PMR- JOP - Contrôle de l'exploitation effective et continue -Transmission des pièces justificatives	1	650
Demande de subvention au titre de la DETR et de  la DSIL (Moselle)	1	647
Candidature pour la session nationale de l'IHEDN - 2024/2025	1	647
French Tech Tremplin - Incubation 2	1	640
 Journée nationale de la résilience-Appel à projets 2023	1	637
FDI - AAP 2020/2021 - Outil de suivi au titre des emplois créés/maintenus (campagne de janvier 2022)	1	630
Demande de subvention au titre de la DETR et de  la DSIL (Somme) 	1	629
FDI - AAP 2020 - Outil de suivi au titre des emplois créés/maintenus (campagne d'octobre 2021)	1	622
Aide trésorerie d'urgence Aude - Gel avril 2021	1	622
Demande de subvention au titre de la DETR et de la DSIL 2024 (Meurthe-et-Moselle)	1	620
LBC Grandes Cultures 	1	606
Demande de reconnaissance d'un service de presse en ligne	1	605
DDPP35 / Influenza aviaire / Demande de LPS	1	600
FDI - AAP 2020 - Outil de suivi au titre des emplois créés/maintenus (campagne de décembre 2021)	1	595
Finistère - Tempête Ciaran - Aide à la Trésorerie	1	592
Demande de subvention de DETR ou DSIL ou FNADT ou DSID 2022 - Ariège	1	592
FONDS VERT - Soutien au tri à la source et à la valorisation des biodéchets	1	584
Dispositif HELP « Aide aux entreprises en difficulté » Bretagne	1	583
FONDS VERT - Développement du covoiturage	1	583
PREF30 - Demande de paiement d'une subvention (DETR-DSIL-FNADT-DSID-DPV-DSEC-TIL-PITE-FONDS VERT)	1	572
Subventions 2022	1	571
Demande de subvention au titre de la DETR et de  la DSIL (Nord)	1	561
FDI - AAP 2020/2021 - Outil de suivi au titre des emplois créés/maintenus (campagne d'Avril 2022)	1	554
PREFECTURE DE LA MANCHE - Demande de versement des subventions DETR-DSIL-DSID-FV	1	552
Demande de subvention au titre de la DETR et de la DSIL (Finistère)	1	548
Allocation d'installation d'atelier (AIA) - 2023	1	541
Engagement Sapeur-Pompier Volontaire SDIS17 MAJEUR	1	540
HELP « aide aux entreprises en difficultés » Rhône-Alpes-V1	1	539
ARS Île-de-France - programme de financement de Santé publique pour 2021 -	1	539
ANSM - Demande d’autorisation préalable de publicité : dispositifs médicaux (DM) et dispositifs médicaux de diagnostic in vitro (DMDIV)	1	538
Demande de subvention au titre de la DETR et de la DSIL (Côte-d'Or)	1	535
ARS Île-de-France - Fiche d'identité de la structure demandeuse au titre d'un financement de santé publique	1	533
Déclaration préalable d'opération de fumigation - DRAAF Nouvelle Aquitaine	1	522
Demande de subvention au titre de la DETR et de la DSIL 2024 (Seine-et-Marne)	1	521
ADELI 971- Auxiliaires médicaux 	1	512
Demande de subvention au titre de la DETR et de la DSIL (Ariège)	1	512
Demande de subvention  au titre de la DETR ou de la DSIL  pour 2023	1	512
Demande d'agrément CII (Crédit d'Impôt Innovation) 2023-2027 par une entreprise NON titulaire d'un agrément CIR en cours de validité	1	511
ANSM - Déclaration de la personne de référence en matière de pharmacovigilance en France (RPV)	1	510
DEMANDE DE BRANCHEMENT AU RESEAU D'EAU POTABLE ET/OU AU RESEAU D'EAUX USEES	1	509
Défenseurs syndicaux d'Ile-de-France : ajout sur la liste d'un nouveau défenseur syndical	1	507
Candidater au 142e cycle Jeunes de l'IHEDN	1	501
FONDS VERT - Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE)	1	496
Demande de subvention au titre de la DETR et de la DSIL (Manche)	1	494
Demande de visa exceptionnel pour deux jours d'une même semaine cinématographique et un maximum de 500 séances	1	492
HELP « aide aux entreprises en difficulté » IdF département 75	2	489
Demande de subvention au titre de la DETR et de la DSIL (Eure-et-Loir)	1	487
ADELI Ile de France - Enregistrement des usagers de titres professionnels (15.10.20)	1	484
Demande de subvention au titre de la DETR et de  la DSIL (Puy-de-Dôme)	1	475
Demande de subvention au titre de la DETR et de la DSIL 2024 (Hautes-Pyrénées)	1	471
Demande de subvention au titre de la DETR et de la DSIL (Ardennes)	1	468
Guichet unique Travail DRIEETS	1	468
DDPP72 / Influenza aviaire / Demande de LPS 2022	1	466
Demande de subvention au titre de la DETR et de la DSIL (Ardèche)	1	465
Déclaration de spectacle pyrotechnique (SOMME)	1	465
DREETS ARA - CONSEILLER DU SALARIE - DEMANDE DE REMBOURSEMENT DU SALAIRE MAINTENU	3	461
Subventions 2021	1	461
ADELI - Assistants de service social 	1	454
FDI - AAP 2020/2021 - Outil de suivi au titre des emplois créés/maintenus (Emplois créés jusqu'au 31 décembre 2022)	1	451
Demande de subvention au titre de la DETR et de la DSIL 2024	1	450
Agence nationale du Sport - Appel à projets national - Soutien aux acteurs socio-sportifs	1	447
Demande de subvention  au titre de la DETR ou de la DSIL  pour 2022	1	444
HELP « aide aux entreprises en difficulté » Bourgogne	1	443
DEMANDE DE CONTROLE D'UNE INSTALLATION D'ASSAINISSEMENT NON COLLECTIF DANS LE CADRE D'UNE TRANSACTION IMMOBILIERE	1	436
Demande de subvention au titre de la DETR et de la DSIL (Marne)	1	435
Demande de subvention au titre de la DETR et de la DSIL (Corrèze)	1	434
HELP « aide aux entreprises en difficultés »	3	428
ARS Île-de-France - programme de financement de Santé publique pour 2020 -	1	427
Demande de subvention au titre de la DETR et de la DSIL (Ille-et-Vilaine)	1	425
Préfecture 93 - mandataires judiciaires - communication des données du SIV	1	420
Taxis parisiens - Aide à l'acquisition ou à la location de taxis peu polluants accessibles en fauteuil roulant	1	413
Demande de subvention au titre de la DETR et de la DSIL (Aveyron)	1	403
VRL Occitanie - Programmation 2022	1	395
Demande de subvention DETR ou DSIL 2023	1	394
AMI CMA - Soumission Lettre d'Intention - Dispositifs de formation	1	393
CPAM 781 - TAXIS conventionnés - Obligations conventionnelles - 2024	1	392
Inscription en tant que demandeur de Label Bas-Carbone	1	391
Aide à l'exemplaire pour les titres de presse postés	1	389
Demande de subvention au titre de la DETR et de la DSIL (Charente-Maritime)	1	389
Demande de subvention au titre de la DETR et de la DSIL (Doubs)	1	384
Images de la culture pour tous 2023 	1	382
Demande de subvention au titre de la DETR et de la DSIL 2024 (Haute-Garonne)	1	380
FranceRelance  : Fonds "Transformation numérique des collectivités territoriales" > Guichet > Déployer FranceConnect	2	380
Demande de subvention DETR - DSIL - Exercice 2022 - Morbihan	1	379
SRC 974 - Demande d'attestation au titre d'activités s'inscrivant dans le cadre de la formation professionnelle	1	376
DDPP85 / demande LPS pour un mouvement de viandes et produits issus d'animaux provenant de ZONE DE PROTECTION vis-à-vis de l'Influenza aviaire	1	374
Demande de subvention au titre de la DETR et de  la DSIL (Meuse)	1	373
Demandes relatives à l'agrément d'un centre de contrôle technique de véhicules motorisés à deux ou trois roues et quadricycles à moteur	1	373
DRIEETS-IDF _ Demande d'agrément pour organiser des sessions d'examen conduisant au titre professionnel du ministère du travail (ou certificat complémentaire de spécialisation)	1	367
Dépôt des plans de performance énergétique et des suivis annuels pour bénéficier de l'abattement TURPE	1	366
FATEA 2023 - DOSSIER DE DEMANDE DE SUBVENTION - Priorité 1 : Développement du volume d’affaires ou des capacités d’accompagnement 	1	366
Demande de subvention au titre de la DETR et de la DSIL (Vienne)	1	364
Demande de subvention au titre de la DETR et de la DSIL (Dordogne)	1	364
Côtes-d'Armor - Tempête Ciaran - Aide à la Trésorerie	1	364
Demande de subvention au titre de la DETR et de la DSIL (Loiret)	1	363
Aide individuelle à la création	1	363
Subventions DETR 2023	1	360
FATEA 2020 - Plan de soutien aux Entreprises Adaptées (campagne de juillet 2021)	1	359
Demande de subvention au titre de la DETR et de  la DSIL (Hérault)	1	358
Demande de subvention de DETR ou DSIL 2023 - PREF43	1	357
HELP « aide aux entreprises en difficultés » 13	1	357
DDPP56/ demande de LPS pour un mouvement de viandes et produits issus d'animaux/ Influenza Aviaire	1	356
Demande de subvention au titre de la DETR et de  la DSIL (Allier)	1	355
Département de la Sarthe - Formulaire de demande de subvention au titre de la DETR et DSIL pour l'année 2024	1	354
Demande de subvention au titre de la DETR et de la DSIL (Saône-et-Loire)	1	354
Demande de subvention  DETR et DSIL 2024 - Haute-Vienne	1	354
Dispositif d'indemnisation exceptionnel des exploitations ultra-marines productrices de fruits et légumes touchées par la hausse des charges d'engrais et d'amendements engendrée par la guerre en Ukraine pour l'année 2022.	2	352
FDI - AAP 2020/2021 - Outil de suivi au titre des emplois créés/maintenus (campagne de février 2022)	1	351
Formulaire de dépôt de projet - AID	3	350
Demande de subvention au titre de la DETR et de  la DSIL (Yonne) 	1	349
Demande d'agrément annuel PH3  - DRAAF Nouvelle Aquitaine	1	349
Guichet Unique Pas de Calais Inondation Reconstruction 	2	349
HELP « aide aux entreprises en difficultés » 83	1	345
Accompagnement coordonné des travailleurs indépendants en Loire-Atlantique	1	344
Accès à l'apprentissage des jeunes de moins de 15 ans (campagne 2023)	1	342
Demande de subvention au titre de la DETR et de la DSIL (Cantal)	1	342
Demande de subvention au titre de la DETR et de la DSIL (Côtes-d'Armor)	1	342
HELP « aide aux travailleurs indépendants en difficultés » HAUTE-GARONNE	1	340
DDPP22 - Demande de laissez-passer - Mouvement ŒUFS provenant d'un élevage de volailles déclaré infecté par SALMONELLA	1	340
Demande de subvention au titre de la DETR et de  la DSIL (Gers)	1	337
Demande de subvention au titre de la DETR et de  la DSIL (Tarn) 	1	337
DDPP29 / Influenza aviaire / Demande de LPS 	2	335
Fonds d'aide aux échanges artistiques et culturels pour les outre-mer (FEAC 2024)	1	334
Demande de subvention au titre de la DETR et de la DSIL (Isère)	1	334
Taxis - Déclaration en ligne annuelle annexe 1	2	329
Demande de subvention au titre de la DETR et de la DSIL 2024 (Landes)	1	328
Demande de subvention au titre de la DETR et de la DSIL 2024 - Rhône	1	326
Demande de subvention au titre de la DETR et de  la DSIL (Indre-et-Loire)	1	324
DDPP49 / IAHP / Déclaration Mise en place de volailles dans la ZCT départementale 49	1	324
FNP CNRACL : Accompagnement financier en matériel 	1	323
Demande de subvention DETR et DSIL - Exercice 2023 - Morbihan	1	323
Demande de subvention au titre de la DETR et de  la DSIL (Haute-Saône) 	1	321
Fonds violences urbaines - demandes de crédits à la DGCL	1	320
Demande de subvention au titre de la DETR et de la DSIL 2024 (Département du Bas-Rhin)	1	320
Demande de subvention au titre de la DETR et de  la DSIL (Loire-Atlantique)	1	318
Candidater au 138e cycle Jeunes de l'IHEDN	1	317
Demande de subvention au titre de la DETR et de la DSIL (Pyrénées-Atlantiques)	1	316
Demande de subvention au titre de la DETR et de  la DSIL (Loir-et-Cher)	1	315
Demande de subvention de DETR ou DSIL ou FNADT ou DSID 2021 - Ariège	1	315
Demande de subvention au titre de la DETR et de  la DSIL (Nièvre)	1	314
ADELI - Inscription des Ostéopathes, Psychothérapeutes, Chiropracteurs  - Usagers de titres -ARS Centre Val de Loire	2	314
Département du Bas-Rhin - Déclaration pour l'exercice de l'activité de transport par route de déchets.	2	313
HELP « aide aux entreprises en difficultés » SEINE MARITIME	1	313
Appel à Candidatures : Fabriques de territoire Vague 10	1	312
F201 - Demande d'attribution de carte de professionnel de santé (CPS) Auxiliaires Médicaux salariés	1	310
Demande de subvention au titre de la DETR et de  la DSIL (Ain)	1	310
Appel à Manifestation d'Intérêt : Fabriques de territoire 8	1	309
Demande de subvention DETR ou DSIL classique pour 2022	2	309
Demande de subvention au titre de la DETR et de la DSIL (Arrondissement de Guéret)	1	308
Demande de subvention au titre de la DETR et de  la DSIL (Orne)	1	307
DDPP85 / IAHP / Acompte indemnisation	1	306
Demande de subvention au titre de la DETR et de  la DSIL (Indre)	1	305
Demande de subvention au titre de la DETR / DSIL / DSID 2024 (Haute-Loire)	1	305
Demande de subvention au titre de la DETR et de  la DSIL (Morbihan)	1	303
HELP « aide aux entreprises en difficultés » HERAULT 	1	303
94-Demande de permis de stationnement, sur places existantes, pour déménagement (ou livraison de matériels) V5	1	302
Demande de subvention au titre de la DETR et de la DSIL (Haut-Rhin)	1	300
Inscription en tant que financeur de Label bas-carbone	1	300
FATEA 2020 - Plan de soutien aux Entreprises Adaptées (campagne de septembre 2021)	1	296
FATEA 2020/2021 - Plan de soutien aux Entreprises Adaptées (campagne de Mai 2022)	1	296
Demande de subvention au titre de la DETR et de  la DSIL (Maine-et-Loire)	1	290
Relogement des victimes d'inondations dans le Pas-de-Calais - formulaire d'offre 	1	288
Appel à candidature Conférence des Financeurs de la Vendée	1	286
ONF Grand Est -  Demande d'installation de ruches en forêt domaniale	1	284
Demande de dérogation à la protection des espèces : RANACULTURE - campagne 2020	1	284
FATEA 2020/2021 - Plan de soutien aux Entreprises Adaptées (campagne de mars 2022)	1	284
Appel à contributions - Espace Générations Nature	1	283
FATEA - DOSSIER DE DEMANDE DE SUBVENTION 2021 - Poursuite de l’effort à l’investissement	1	281
Demande de subvention au titre de la DETR et de  la DSIL (Yvelines) 	1	280
Demande d'autorisation d'introduction et/ou de prélèvement dans le milieu naturel de grand gibier ou de lapins dans le département de la Marne.	1	280
Appel à projets 137 - Egalité entre les femmes et les hommes dans les Hauts-de-France 2024	1	278
Demande de subvention au titre de la DETR et de la DSIL 2024 (VOSGES)	1	278
HELP « aide aux entreprises en difficultés » 06	1	276
